season,race_name,fullname,numero_quali,tiempo_ms,tiempo_TD,tiempo_min_ms,tiempo_min_TD,diff_ms_with_1st_in_quali,diff_TD_with_1st_in_quali
2021,French Grand Prix,Max Verstappen,1,91001.0,00:01:31.001,91001.0,0 days 00:01:31.001000,0.0,00:00:00.000
2021,French Grand Prix,Lewis Hamilton,1,91237.0,00:01:31.236,91001.0,0 days 00:01:31.001000,236.0,00:00:00.236
2021,French Grand Prix,Valtteri Bottas,1,91669.0,00:01:31.668,91001.0,0 days 00:01:31.001000,668.0,00:00:00.668
2021,French Grand Prix,Sergio Pérez,1,91560.0,00:01:31.560,91001.0,0 days 00:01:31.001000,559.0,00:00:00.559
2021,French Grand Prix,Carlos Sainz,1,92079.0,00:01:32.078,91001.0,0 days 00:01:31.001000,1078.0,00:00:01.078
2021,French Grand Prix,Pierre Gasly,1,91898.0,00:01:31.897,91001.0,0 days 00:01:31.001000,897.0,00:00:00.897
2021,French Grand Prix,Charles Leclerc,1,92209.0,00:01:32.209,91001.0,0 days 00:01:31.001000,1208.0,00:00:01.207
2021,French Grand Prix,Lando Norris,1,91733.0,00:01:31.733,91001.0,0 days 00:01:31.001000,732.0,00:00:00.732
2021,French Grand Prix,Fernando Alonso,1,92158.0,00:01:32.158,91001.0,0 days 00:01:31.001000,1157.0,00:00:01.157
2021,French Grand Prix,Daniel Ricciardo,1,92181.0,00:01:32.180,91001.0,0 days 00:01:31.001000,1180.0,00:00:01.179
2021,French Grand Prix,Esteban Ocon,1,92139.0,00:01:32.138,91001.0,0 days 00:01:31.001000,1138.0,00:00:01.137
2021,French Grand Prix,Sebastian Vettel,1,92132.0,00:01:32.132,91001.0,0 days 00:01:31.001000,1131.0,00:00:01.131
2021,French Grand Prix,Antonio Giovinazzi,1,92722.0,00:01:32.721,91001.0,0 days 00:01:31.001000,1721.0,00:00:01.721
2021,French Grand Prix,George Russell,1,93060.0,00:01:33.060,91001.0,0 days 00:01:31.001000,2059.0,00:00:02.059
2021,French Grand Prix,Mick Schumacher,1,92942.0,00:01:32.941,91001.0,0 days 00:01:31.001000,1941.0,00:00:01.940
