season,race_name,numero_quali,Alexander Albon,Antonio Giovinazzi,Carlos Sainz,Charles Leclerc,Daniel Ricciardo,Esteban Ocon,Fernando Alonso,George Russell,Guanyu Zhou,Kevin Magnussen,Kimi Räikkönen,Lance Stroll,Lando Norris,Lewis Hamilton,Liam Lawson,Logan Sargeant,Max Verstappen,Mick Schumacher,Nicholas Latifi,Nico Hülkenberg,Nikita Mazepin,Nyck de Vries,Oscar Piastri,Pierre Gasly,Robert Kubica,Sebastian Vettel,Sergio Pérez,Valtteri Bottas,Yuki Tsunoda
2021,United States Grand Prix,1,,95920.0,94558.0,94153.0,94407.0,95747.0,95756.0,95746.0,,,96311.0,95983.0,94551.0,94579.0,,,94352.0,96499.0,95995.0,,96796.0,,,94567.0,,95281.0,94369.0,94590.0,95360.0
2021,United States Grand Prix,2,,95794.0,94126.0,93928.0,94643.0,95377.0,104549.0,0.0,,,0.0,0.0,93880.0,93797.0,,,93464.0,0.0,0.0,,0.0,,,94583.0,,95500.0,94178.0,93959.0,95137.0
2021,United States Grand Prix,3,,0.0,93792.0,93606.0,93808.0,0.0,0.0,0.0,,,0.0,0.0,93887.0,93119.0,,,92910.0,0.0,0.0,,0.0,,,94118.0,,0.0,93134.0,93475.0,94918.0
2022,Abu Dhabi Grand Prix,1,86028.0,,85090.0,85211.0,85766.0,85735.0,85782.0,85545.0,85594.0,85834.0,,85741.0,85387.0,85594.0,,,84754.0,85711.0,86054.0,,,,,85859.0,,85523.0,84820.0,85892.0,85630.0
2022,Abu Dhabi Grand Prix,2,0.0,,84521.0,84517.0,85068.0,85007.0,85096.0,84940.0,85408.0,0.0,,85359.0,84903.0,84774.0,,,84622.0,85225.0,0.0,,,,,0.0,,84974.0,84419.0,0.0,85219.0
2022,Abu Dhabi Grand Prix,3,0.0,,84242.0,84092.0,85045.0,84830.0,0.0,84511.0,0.0,0.0,,0.0,84769.0,84508.0,,,83824.0,0.0,0.0,,,,,0.0,,84961.0,84052.0,0.0,0.0
2022,Australian Grand Prix,1,80135.0,,78983.0,78881.0,79665.0,79605.0,79192.0,79405.0,79910.0,80254.0,,0.0,79280.0,79401.0,,,78580.0,80104.0,81372.0,,,,,79580.0,,81149.0,78834.0,79251.0,79742.0
2022,Australian Grand Prix,2,0.0,,78469.0,78606.0,79130.0,79136.0,78815.0,79076.0,80155.0,0.0,,0.0,79066.0,79106.0,,,78611.0,80465.0,0.0,,,,,79226.0,,0.0,78340.0,79410.0,79424.0
2022,Australian Grand Prix,3,0.0,,79408.0,77868.0,79032.0,79061.0,0.0,78933.0,0.0,0.0,,0.0,78703.0,78825.0,,,78154.0,0.0,0.0,,,,,0.0,,0.0,78240.0,0.0,0.0
2022,Austrian Grand Prix,1,66516.0,,65660.0,65419.0,66613.0,66468.0,66016.0,66235.0,66901.0,66366.0,,66847.0,66330.0,66079.0,,,65852.0,66405.0,67003.0,,,,,66589.0,,67083.0,66143.0,66442.0,66463.0
