season,race_name,fullname,numero_quali,tiempo_ms
2021,Bahrain Grand Prix,Daniel Ricciardo,3,89927.0
2021,Bahrain Grand Prix,Esteban Ocon,1,91724.0
2021,Bahrain Grand Prix,Esteban Ocon,2,0.0
2021,Bahrain Grand Prix,Esteban Ocon,3,0.0
2021,Bahrain Grand Prix,Fernando Alonso,1,90863.0
2021,Bahrain Grand Prix,Fernando Alonso,2,90595.0
2021,Bahrain Grand Prix,Fernando Alonso,3,90249.0
2021,Bahrain Grand Prix,George Russell,1,91316.0
2021,Bahrain Grand Prix,George Russell,2,93430.0
2021,Bahrain Grand Prix,George Russell,3,0.0
2021,Bahrain Grand Prix,Kimi Räikkönen,1,91547.0
2021,Bahrain Grand Prix,Kimi Räikkönen,2,91238.0
2021,Bahrain Grand Prix,Kimi Räikkönen,3,0.0
2021,Bahrain Grand Prix,Lance Stroll,1,91261.0
2021,Bahrain Grand Prix,Lance Stroll,2,90624.0
2021,Bahrain Grand Prix,Lance Stroll,3,90601.0
2021,Bahrain Grand Prix,Lando Norris,1,90902.0
2021,Bahrain Grand Prix,Lando Norris,2,90099.0
2021,Bahrain Grand Prix,Lando Norris,3,89974.0
2021,Bahrain Grand Prix,Lewis Hamilton,1,90617.0
2021,Bahrain Grand Prix,Lewis Hamilton,2,90085.0
2021,Bahrain Grand Prix,Lewis Hamilton,3,89385.0
2021,Bahrain Grand Prix,Max Verstappen,1,90499.0
2021,Bahrain Grand Prix,Max Verstappen,2,90318.0
2021,Bahrain Grand Prix,Max Verstappen,3,88997.0
2021,Bahrain Grand Prix,Mick Schumacher,1,92449.0
2021,Bahrain Grand Prix,Mick Schumacher,2,0.0
2021,Bahrain Grand Prix,Mick Schumacher,3,0.0
2021,Bahrain Grand Prix,Nicholas Latifi,1,91936.0
2021,Bahrain Grand Prix,Nicholas Latifi,2,0.0
2021,Bahrain Grand Prix,Nicholas Latifi,3,0.0
2021,Bahrain Grand Prix,Nikita Mazepin,1,93273.0
2021,Bahrain Grand Prix,Nikita Mazepin,2,0.0
2021,Bahrain Grand Prix,Nikita Mazepin,3,0.0
2021,Bahrain Grand Prix,Pierre Gasly,1,90848.0
2021,Bahrain Grand Prix,Pierre Gasly,2,90513.0
2021,Bahrain Grand Prix,Pierre Gasly,3,89809.0
2021,Bahrain Grand Prix,Sebastian Vettel,1,92056.0
2021,Bahrain Grand Prix,Sebastian Vettel,2,0.0
2021,Bahrain Grand Prix,Sebastian Vettel,3,0.0
2021,Bahrain Grand Prix,Sergio Pérez,1,91165.0
2021,Bahrain Grand Prix,Sergio Pérez,2,90659.0
2021,Bahrain Grand Prix,Sergio Pérez,3,0.0
2021,Bahrain Grand Prix,Valtteri Bottas,1,91200.0
2021,Bahrain Grand Prix,Valtteri Bottas,2,90186.0
2021,Bahrain Grand Prix,Valtteri Bottas,3,89586.0
2021,Bahrain Grand Prix,Yuki Tsunoda,1,90607.0
2021,Bahrain Grand Prix,Yuki Tsunoda,2,91203.0
